Caixa Geral de Depósitos
Extrato de Conta à Ordem
Conta: 0000 0000 0000
IBAN: PT50 0000 0000 0000 0000 0000 0
Período: 01-04-2026 a 31-05-2026
Moeda: EUR
Data movimento;Data valor;Descrição;Débito;Crédito;Saldo contabilístico
31-05-2026;31-05-2026;SALARIO ACME LDA;;2.450,00;2.450,00
28-05-2026;28-05-2026;TRANSFERENCIA POUPANCA;500,00;;1.950,00
18-05-2026;18-05-2026;CONTINENTE;63,15;;1.886,85
06-05-2026;06-05-2026;GALP COMBUSTIVEL;61,20;;1.825,65
03-05-2026;03-05-2026;NOS COMUNICACOES;39,99;;1.785,66
02-05-2026;02-05-2026;RENDA;750,00;;1.035,66
30-04-2026;30-04-2026;SALARIO ACME LDA;;2.450,00;2.450,00
19-04-2026;19-04-2026;LIDL;33,25;;2.416,75
08-04-2026;08-04-2026;EDP COMERCIAL;69,80;;2.346,95
01-04-2026;01-04-2026;RENDA;750,00;;1.596,95
Saldo final;;;;;1.596,95
